time_sec,ECG_II,ECG_II_filtered
0.0,-0.13,-0.01
0.002,-0.18,-0.01
0.004,-0.105,-0.01
0.006,-0.145,-0.01
0.008,-0.11,-0.01
0.01,-0.14,-0.005
0.012,-0.12,0.0
0.014,-0.1,0.0
0.016,-0.105,0.005
0.018,-0.11,0.005
0.02,-0.13,0.0
0.022,-0.105,0.0
0.024,-0.095,-0.005
0.026,-0.165,-0.01
0.028,-0.145,-0.015
0.03,-0.125,-0.015
0.032,-0.135,-0.015
0.034,-0.145,-0.01
0.036,-0.095,0.0
0.038,-0.095,0.01
0.04,-0.125,0.02
0.042,-0.07,0.025
0.044,-0.11,0.03
0.046,-0.115,0.03
0.048,-0.12,0.025
0.05,-0.135,0.015
0.052,-0.12,0.005
0.054,-0.125,-0.005
0.056,-0.15,-0.015
0.058,-0.125,-0.015
0.06,-0.12,-0.015
0.062,-0.16,-0.01
0.064,-0.11,0.0
0.066,-0.08,0.01
0.068,-0.105,0.02
0.07,-0.13,0.025
0.072,-0.1,0.025
0.074,-0.105,0.02
0.076,-0.125,0.01
0.078,-0.155,0.0
0.08,-0.155,-0.01
0.082,-0.145,-0.02
0.084,-0.125,-0.02
0.086,-0.125,-0.015
0.088,-0.085,-0.01
0.09,-0.11,0.0
0.092,-0.15,0.01
0.094,-0.115,0.015
0.096,-0.13,0.02
0.098,-0.14,0.015
0.1,-0.145,0.01
0.102,-0.105,0.0
0.104,-0.115,-0.005
0.106,-0.175,-0.01
0.108,-0.085,-0.01
0.11,-0.085,-0.01
0.112,-0.1,-0.005
0.114,-0.135,0.0
0.116,-0.15,0.005
0.118,-0.1,0.005
0.12,-0.155,0.005
0.122,-0.17,0.0
0.124,-0.13,-0.005
0.126,-0.09,-0.015
0.128,-0.09,-0.015
0.13,-0.12,-0.015
0.132,-0.15,-0.01
0.134,-0.145,-0.005
0.136,-0.185,0.0
0.138,-0.12,0.005
0.14,-0.11,0.005
0.142,-0.11,0.005
0.144,-0.165,-0.005
0.146,-0.15,-0.015
0.148,-0.165,-0.03
0.15,-0.13,-0.04
0.152,-0.125,-0.045
0.154,-0.17,-0.045
0.156,-0.205,-0.04
0.158,-0.14,-0.03
0.16,-0.15,-0.015
0.162,-0.17,0.0
0.164,-0.125,0.01
0.166,-0.085,0.02
0.168,-0.07,0.02
0.17,-0.065,0.01
0.172,-0.11,0.0
0.174,-0.185,-0.015
0.176,-0.165,-0.03
0.178,-0.145,-0.04
0.18,-0.205,-0.05
0.182,-0.185,-0.05
0.184,-0.19,-0.045
0.186,-0.105,-0.04
0.188,-0.085,-0.03
0.19,-0.12,-0.02
0.192,-0.15,-0.01
0.194,-0.15,-0.01
0.196,-0.145,-0.005
0.198,-0.13,-0.01
0.2,-0.135,-0.01
0.202,-0.13,-0.015
0.204,-0.155,-0.02
0.206,-0.13,-0.02
0.208,-0.115,-0.015
0.21,-0.125,-0.015
0.212,-0.14,-0.01
0.214,-0.13,-0.01
0.216,-0.13,-0.01
0.218,-0.15,-0.015
0.22,-0.11,-0.02
0.222,-0.165,-0.03
0.224,-0.15,-0.035
0.226,-0.135,-0.04
0.228,-0.16,-0.045
0.23,-0.145,-0.045
0.232,-0.145,-0.04
0.234,-0.175,-0.035
0.236,-0.125,-0.03
0.238,-0.175,-0.025
0.24,-0.185,-0.02
0.242,-0.135,-0.02
0.244,-0.14,-0.025
0.246,-0.155,-0.03
0.248,-0.145,-0.035
0.25,-0.165,-0.04
0.252,-0.2,-0.045
0.254,-0.16,-0.04
0.256,-0.095,-0.035
0.258,-0.11,-0.03
0.26,-0.18,-0.02
